id,First Name,Last Name,Age,Grade,Country
608,Cristin,Moody,14,0.0,Iran
609,Lora,Winfindine,13,6.2,China
610,Deena,Blinco,16,7.7,Yemen
611,Sancho,Kingsman,13,5.4,Morocco
612,Antoine,Cristoferi,15,6.2,Dominican Republic
613,Papageno,Durrance,13,0.8,Philippines
614,Eleanor,Kempshall,15,3.9,China
615,Simmonds,Ackers,15,6.5,Bangladesh
616,Margie,McConaghy,15,1.7,Mexico
617,Marge,Janton,14,9.5,Sweden
618,Pauly,McInnery,15,9.3,Kenya
619,Vivianne,Tirte,16,1.5,Russia
620,Kamilah,Aitkin,15,2.8,Russia
621,Hogan,Earles,14,6.3,Madagascar
622,Zsa zsa,Woods,15,9.3,China
623,Ludwig,Blunsum,14,0.9,China
624,Reiko,Ormonde,15,0.8,Saudi Arabia
625,Bobbee,Bygraves,13,1.1,Russia
626,Sofia,Triggel,14,9.1,El Salvador
627,Barnabe,Hollingsby,14,2.8,China
628,Bren,Matteris,15,5.5,Indonesia
629,Chlo,Sultana,15,9.6,Greece
630,Jewell,Spikeings,14,5.1,Indonesia
631,Erna,Moodycliffe,14,5.4,Greece
632,Max,Dublin,13,9.4,China
633,Noni,Addyman,15,4.7,China
634,Abba,Bertelsen,16,7.9,Macedonia
635,Coralyn,Dowker,14,5.8,China
636,Rosabelle,Gayter,14,0.6,Poland
637,Melisent,Richen,13,9.5,Russia
638,Suzette,Argile,14,4.1,China
639,Collin,Saffer,13,5.8,France
640,Stephanus,Vequaud,13,8.4,Russia
641,Hiram,Madden,16,8.5,Philippines
642,Britteny,Langley,15,5.3,Mongolia
643,Ricky,Holley,14,8.6,France
644,Emlynn,Pettus,13,5.8,Poland
645,Gratia,Gitthouse,16,6.3,Indonesia
646,Nadine,Mawford,13,,Australia
647,Cyb,Commucci,14,0.1,South Sudan
648,Lynna,Paternoster,14,9.6,Greece
649,Rubi,Mapp,16,5.8,United States
650,Durante,Wanless,14,7.9,Albania
651,Dolf,Mitie,15,9.2,China
652,Malorie,Leall,16,5.9,Indonesia
653,Darill,Linguard,14,5.7,Greece
654,Holly,Hariot,16,7.6,United States
655,Torey,Burberye,15,4.7,Philippines
656,Peg,Stonehouse,14,7.4,Nigeria
657,Flss,McKeggie,15,5.3,Colombia
658,Kelbee,Thornbarrow,15,4.8,United States
659,Glenn,Heyburn,16,9.6,Vietnam
660,Stafford,Hymor,14,8.8,Argentina
661,Portia,Pillington,15,1.0,Indonesia
662,Anastassia,Duhig,14,3.4,Tajikistan
663,Durand,Ketteridge,13,5.1,Vanuatu
664,Colas,Prantoni,15,3.5,China
665,Dimitry,Elcott,13,2.9,China
666,Uta,Dewitt,15,5.3,Argentina
667,Kessiah,Godridge,14,1.2,Indonesia
668,Malissa,Hadgkiss,14,9.5,Indonesia
669,Caterina,Elph,14,4.4,Canada
670,Bernelle,Mitkin,15,7.8,Portugal
671,Myrvyn,Mumberson,14,3.3,United States
672,Trixi,Follett,14,4.4,Botswana
673,Vassili,Cristoforetti,15,9.5,Micronesia
674,Klarika,Seivwright,13,6.0,Philippines
675,Nedda,Sultan,15,6.7,Paraguay
676,Jacquette,Fifoot,15,1.2,Indonesia
677,Cort,Leftridge,16,7.5,Indonesia
678,Kirbee,Chatelain,13,6.4,Ukraine
679,Loreen,Timeby,16,6.5,China
680,Bailie,Stanbury,13,0.2,China
681,Cristionna,Maddin,15,8.7,Nigeria
682,Marcela,Seiter,13,4.2,Portugal
683,Emiline,Fisher,13,4.4,China
684,Leandra,Cocks,13,8.0,China
685,Genvieve,Muck,14,2.8,Vietnam
686,Florida,Luigi,13,9.7,Sweden
687,Guillemette,Wase,13,0.7,China
688,Clary,Bowld,15,7.7,Laos
689,Wade,Pledge,13,2.9,Indonesia
690,Mitchell,Jago,14,7.0,Zambia
691,Myrta,Raulin,13,7.7,Portugal
692,Sumner,Risely,14,1.9,Indonesia
693,Ariel,Creaser,14,1.1,Peru
694,Roselia,Gisbye,16,1.5,Russia
695,Clair,Brazear,13,3.6,Ethiopia
696,Jodi,Pothbury,14,4.0,Poland
697,Ramona,Harmeston,16,0.2,Germany
698,Lexy,Symes,15,9.3,Philippines
699,Wanda,Vernham,16,1.5,Philippines
700,Denys,Slimon,14,6.3,Philippines
701,Davie,Espada,14,3.3,South Africa
702,Linc,Abramow,14,4.4,Philippines
703,Elisha,Klimentyonok,13,8.6,Portugal
704,Claiborn,Leile,15,2.8,Colombia
705,Saul,Possa,14,4.7,Canada
706,Bryan,Baert,16,6.3,Sweden
707,Rubetta,Shrimplin,13,3.3,Turkey
708,Bekki,Bushby,13,0.5,Albania
709,Emogene,Jiri,16,0.7,Indonesia
710,Orelle,Endean,13,9.5,Indonesia
711,Daile,Prestney,14,0.6,Indonesia
712,Sarette,Shone,15,1.1,China
713,Brit,Heasman,14,1.0,Thailand
714,Kermit,Cockshtt,15,8.2,Poland
715,Willabella,Wort,13,0.0,Indonesia
716,Daron,Gercken,15,9.0,Bangladesh
717,Mariya,Batting,13,7.6,Bulgaria
718,Jodie,Peregrine,15,5.8,Russia
719,Ashlie,Musker,14,2.3,Albania
720,Chelsie,Archibould,13,1.0,United States
721,Patrick,Ferreras,14,2.5,United States
722,Clarance,Curgenuer,14,9.1,South Korea
723,Judy,Scoullar,16,1.1,Canada
724,Nanete,Logsdale,13,8.1,China
725,Charline,MacIver,16,2.5,China
726,Lotty,Inmett,13,7.8,China
727,Lynelle,Livesay,16,3.0,Russia
728,Mahalia,Bavage,14,4.9,Indonesia
729,Lorenza,Linley,15,9.3,China
730,Trenna,Hadland,16,5.7,Kenya
731,Kaspar,Colliber,15,0.6,Ethiopia
732,Isidore,Helbeck,16,3.5,Ukraine
733,Gaylord,Happs,16,7.5,France
734,Conant,Tuttle,13,5.3,Russia
735,Markus,Jenkison,15,2.5,China
736,Rudolfo,Ludlow,16,4.6,China
737,Jasmine,Clutten,15,6.5,Germany
738,Lilli,Peak,15,4.4,Tajikistan
739,Norah,Wrench,16,3.6,Colombia
740,Con,Fishly,13,1.6,Madagascar
741,Eugine,Exrol,14,2.3,China
742,Micheil,MacCracken,14,6.3,Philippines
743,Jonas,Heakins,13,4.2,Philippines
744,Celestina,Gladding,15,2.4,Philippines
745,Rheta,Alesio,13,1.1,Spain
746,Lonni,Friedank,15,5.9,Colombia
747,Dru,Harriot,13,2.2,Russia
748,Johna,Deppe,16,,United States
749,Elysee,Grossman,14,9.0,Mexico
750,Tristan,Rignall,15,2.2,Bangladesh
751,Vicki,Urion,14,2.2,Poland
752,Roselle,Richen,14,8.5,China
753,Jenine,Ripley,15,0.7,Tanzania
754,Maje,Robardley,14,0.4,Armenia
755,Igor,Willatt,15,9.2,France
756,Amii,Crotty,14,6.5,China
757,Collete,Creed,15,5.7,Norway
758,Rorke,Lindley,14,1.8,Eritrea
759,Agustin,Pavlasek,15,9.9,Sri Lanka
760,Rorke,Huzzey,16,2.0,Russia
761,Mahala,Mochar,15,9.4,Myanmar
762,Gregg,Flaubert,16,6.8,China
763,Fawn,Pietron,13,3.7,Lithuania
764,Caroline,Mendel,14,0.4,China
765,Inger,Vasse,14,8.5,Sweden
766,Lyndel,Dmisek,13,10.0,Guinea
767,Marco,Locke,16,9.0,Vietnam
768,Booth,Spittles,15,3.5,China
769,Ferne,Housby,15,1.2,China
770,Sammy,Goodere,16,4.9,United States
771,Ashli,Cosham,14,4.3,Uganda
772,Charin,Moody,16,2.6,France
773,Daniel,Bartlomiejczyk,15,6.6,Czech Republic
774,Connor,Larrad,15,8.4,China
775,Kamillah,Hasloch,14,7.2,Colombia
776,Lita,Wickey,16,3.9,South Africa
777,Tisha,Ibberson,13,8.6,Vietnam
778,Muffin,Helder,14,6.1,Nigeria
779,Nikolas,Goldsby,16,0.0,China
780,Ashby,Leyes,15,4.8,Mongolia
781,Mechelle,Ocheltree,15,8.1,Kazakhstan
782,Saunderson,Fri,15,,Pakistan
783,Inness,Buttel,16,5.7,Philippines
784,Gaye,Langan,14,4.2,Philippines
785,Ely,Day,14,9.4,Poland
786,Shadow,Brimicombe,16,7.3,Brazil
787,Therine,Folkes,15,3.3,France
788,Darn,De Malchar,13,4.5,Mongolia
789,Latia,Pendergrast,13,2.1,China
790,Elfie,Arnison,16,7.0,Portugal
791,Dori,Gibbon,13,2.7,Portugal
792,Nataline,Duncan,15,1.5,Kazakhstan
793,Boy,Ellum,16,2.0,Peru
794,Gloriane,Tinner,13,1.3,Indonesia
795,Conway,Asquez,14,7.3,Syria
796,Bird,Folcarelli,13,1.8,Philippines
797,Prescott,Malec,15,6.1,China
798,Augustine,Devey,14,8.4,Mongolia
799,Dorolice,Lackie,13,5.4,United States
800,Max,Harmant,15,0.4,Japan
801,Emmeline,Osband,16,5.0,Russia
802,Bobbie,Courson,15,0.2,Azerbaijan
803,Lacy,Starmer,15,4.1,Indonesia
804,Leslie,Brann,13,9.6,Hungary
805,Gwenny,Sheircliffe,13,7.8,Russia
806,Vin,Jeacock,14,4.5,Indonesia
807,Karisa,Jerrold,16,9.0,Indonesia
808,Bax,Bethell,14,3.2,Portugal
809,Allina,Raoult,13,8.4,Philippines
810,Angelo,Beddin,13,9.6,Indonesia
811,Dore,Concklin,15,10.0,Philippines
812,Shanon,McCreery,16,4.3,Serbia
813,Kasper,Reiners,16,3.3,Russia
814,Abigael,Ellams,15,9.6,Bulgaria
815,Verile,Martyns,13,3.7,Ivory Coast
816,Even,McQuaker,15,6.3,Poland
817,Craggy,Rusk,14,9.1,Japan
818,Noreen,Collisson,16,3.7,China
819,Alecia,Readings,13,7.6,Peru
820,Lucien,Benzie,15,5.6,China
821,Nada,Bundock,16,9.5,Palestinian Territory
822,Arleyne,Brodeur,13,8.2,Russia
823,Jany,Woodier,13,9.3,China
824,Egon,Askham,15,3.9,China
825,Gale,Mortlock,15,5.3,Argentina
826,Terri,Carbry,16,4.6,China
827,Gaspard,Davidof,14,5.0,Indonesia
828,Halley,De Bruijne,13,6.7,China
829,Hunt,Thurnham,14,4.3,Argentina
830,Nikolia,Coggings,13,1.6,Greece
831,Bar,Elcocks,16,1.2,Portugal
832,Brien,Edworthie,15,4.5,Mexico
833,Farah,Snipe,13,6.3,Colombia
834,Grantley,Fellos,13,2.9,South Korea
835,Jessie,Tilson,13,9.3,Philippines
836,Karina,Rodrigo,14,9.6,Russia
837,Lynnea,Ivakhno,14,5.3,Greece
838,Conan,Bisseker,14,4.3,China
839,Kerk,Tummasutti,16,7.4,Ireland
840,Danny,Whittick,16,0.1,Malaysia
841,Rab,Kassidy,15,6.0,Russia
842,Cull,Syce,13,6.9,Indonesia
843,Nelli,Cashford,14,1.5,China
844,Mallissa,Dow,16,2.2,Mongolia
845,Katrine,Gillie,15,2.9,China
846,Karen,Darton,13,6.1,China
847,Easter,ffrench Beytagh,15,0.6,Indonesia
848,Gabi,Mildner,13,6.4,Gambia
849,Mahmud,Londing,13,3.4,Macedonia
850,Holly,Goddard,14,1.6,Japan
851,Joana,Bish,14,9.7,China
852,Filberte,Siggins,15,6.4,Serbia
853,Sula,Clemot,13,7.8,Indonesia
854,Jada,Kurt,14,4.3,France
855,Giorgi,Zettoi,14,,France
856,Euphemia,Carrack,15,6.5,Indonesia
857,Carson,Gonsalo,15,2.3,Poland
858,Conrado,Provost,15,1.7,Brazil
859,Pierre,Ransbury,14,1.6,Indonesia
860,Caritta,Shivell,16,8.9,China
861,Hortensia,Gladbeck,14,0.7,China
862,Chris,Marlowe,15,4.6,Czech Republic
863,Jordanna,Cogger,13,8.1,Poland
864,Darn,Tremblett,13,6.1,China
865,Jedd,Kewley,13,7.7,China
866,Asia,Humbatch,15,6.6,United States
867,Agata,Lavrinov,13,4.8,Canada
868,Erek,Baford,15,10.0,China
869,Ilka,Yandell,14,1.2,Nigeria
870,Johna,Deelay,13,4.8,Russia
871,Wilek,Dressel,16,4.7,Thailand
872,Barnie,Gillaspy,13,,France
873,Edan,Wauchope,14,9.6,Colombia
874,Kaiser,Faragher,13,6.3,Hong Kong
875,Lolita,Simnett,13,7.0,Thailand
876,Ruggiero,Forrester,15,0.9,China
877,Danny,Garlant,16,6.8,Russia
878,Edik,Grichukhanov,13,2.2,Philippines
879,Dulci,Styche,14,2.5,Colombia
880,Laryssa,Reside,14,4.6,China
881,Cindie,Auten,13,4.9,Indonesia
882,Christine,Bearblock,13,5.5,France
883,Sunshine,Ennor,14,1.8,China
884,Burnard,Rearden,15,2.5,China
885,Rubia,July,16,4.3,Russia
886,Merola,Wheowall,13,6.5,Portugal
887,Elladine,Spray,16,1.3,Philippines
888,Tracey,Le Houx,13,3.8,China
889,Shem,Monketon,15,9.4,China
890,Debbie,Hazelby,15,2.0,France
891,Ali,Hallut,16,2.9,Argentina
892,Hedvige,Hamil,14,3.1,Australia
893,Lise,Jurgensen,13,8.5,Indonesia
894,Flemming,Gregol,15,7.3,Japan
895,Neil,Fairlaw,16,1.9,Russia
896,Louis,Gyves,14,1.6,Sweden
897,Netta,Knevet,16,5.9,Czech Republic
898,Muriel,Crannach,16,5.6,China
899,Sabina,MacIllrick,15,6.6,Indonesia
900,Corbett,Officer,15,7.8,United States
901,Marshal,Suggett,13,,Philippines
902,Puff,Pim,13,3.9,Uruguay
903,Chiarra,Burton,15,7.0,Bangladesh
904,Leonidas,Craine,16,4.1,Tanzania
905,Dru,Mindenhall,15,7.5,Kyrgyzstan
906,Hadlee,Farney,14,2.0,Sweden
907,Sargent,Wandrey,16,3.4,Philippines
908,Merrel,Philipsohn,16,0.6,Russia
909,Erin,Iwanowicz,15,9.6,Ukraine
910,Nancey,Heart,16,4.8,China
911,Essie,Joice,16,4.5,Tunisia
912,Sacha,Volett,15,5.3,China
913,Paolina,Houseago,13,0.9,Central African Republic
914,Kalindi,Husselbee,16,0.2,China
915,Helen-elizabeth,Valdes,15,4.0,Philippines
916,Mel,Zorzutti,14,7.2,Iraq
917,Serge,Candlish,14,,Macedonia
918,Sheba,Baldry,14,7.7,France
919,Findley,Grunder,14,6.7,Indonesia
920,Eunice,Sabate,13,4.5,Russia
921,Jillane,Brampton,16,2.7,Peru
922,Moore,Merryfield,14,7.7,Ireland
923,Tommy,Pinchbeck,15,3.7,Russia
924,Desirae,Itzkovwitch,14,7.8,China
925,Jarrod,Tute,14,3.2,Colombia
926,Nesta,Cowdroy,13,2.7,Indonesia
927,Lorenzo,Sargeant,14,7.0,China
928,Casie,Garlicke,14,0.1,Bulgaria
929,Em,Basnett,15,9.0,Venezuela
930,Janessa,Booeln,14,7.6,Bahrain
931,Miguelita,Silbert,16,3.3,France
932,Fredric,Cockson,13,0.5,Brazil
933,Kris,Quilter,13,9.4,Luxembourg
934,Nellie,Kubal,14,0.9,Sweden
935,Shanie,Oxbe,14,2.9,Kenya
936,Danella,Markham,13,4.3,Indonesia
937,Carlye,Schild,15,6.9,China
938,Melvin,Fasson,13,4.9,Sierra Leone
939,Patton,Innett,13,4.8,Canada
940,Steffi,Duligall,15,2.3,France
941,Abeu,Beautyman,16,8.2,Indonesia
942,Paten,Docharty,15,6.8,Zambia
943,Theodore,Sibley,15,0.1,China
944,Tobye,Dunbobin,14,4.9,China
945,Missie,Dobkin,13,6.7,Russia
946,Moritz,Beane,14,6.1,China
947,Moe,Ingarfield,15,2.8,Germany
948,Ettie,Finder,16,7.9,Peru
949,Lanie,Dimnage,13,1.9,China
950,Tabatha,Loudyan,15,3.6,Indonesia
951,Agnesse,Lankham,15,0.2,Slovenia
952,Candie,Sainsbury,15,5.6,China
953,Georgie,Culshaw,15,5.2,Myanmar
954,Freddy,Callicott,13,4.4,Mexico
955,Cullan,Stoyles,15,7.4,Indonesia
956,Delly,Portam,13,8.6,China
957,Robby,Liggett,16,0.4,Curacao
958,Shelton,Craise,16,9.6,Ukraine
959,Yancy,Jodkowski,14,0.4,Poland
960,Ashlan,Corkish,14,9.4,Ukraine
961,Tanya,Velte,13,5.6,Indonesia
962,Rustie,Thaller,15,8.9,Italy
963,Yetty,Rose,14,7.0,China
964,Catherin,Lewin,15,7.4,Philippines
965,Natale,Fildes,15,0.5,Russia
966,Tobi,De Blasiis,13,7.7,China
967,Alphonso,Outerbridge,15,5.3,Croatia
968,Pieter,Galletley,16,7.5,Brazil
969,Gates,Jaggs,15,6.0,Philippines
970,Mel,Kohter,13,3.6,China
971,Tally,Guerin,16,9.3,Russia
972,Joe,Woodham,15,9.5,China
973,Felisha,Dutson,16,8.6,Philippines
974,Gard,Wingate,15,8.7,Bulgaria
975,Harley,Stothert,16,0.9,Serbia
976,Corbin,Babar,15,7.5,Afghanistan
977,Lanae,Crossan,15,1.6,Venezuela
978,Charmaine,Herries,15,2.4,Mexico
979,Johny,Bedle,14,1.1,Indonesia
980,Hurlee,Kantor,15,6.2,Peru
981,Connie,Lethem,16,9.8,Russia
982,Lulu,Alliston,13,6.3,China
983,Ellery,Britto,15,7.2,Mexico
984,Heall,Matthensen,13,8.8,Canada
985,Davide,Matuskiewicz,13,0.9,Morocco
986,Barbe,Jurgenson,15,4.8,Netherlands
987,Lynea,Grimditch,16,0.3,France
988,Lindie,Bastow,13,2.9,China
989,Crichton,Brugman,14,1.4,Venezuela
990,Deane,Davidowich,15,2.3,Peru
991,Jacky,Scalera,14,5.9,Indonesia
992,Matt,Durbin,16,1.8,Poland
993,Rachael,Easun,13,9.7,Russia
994,Nathan,Eadmeades,16,6.9,France
995,Morley,Whitby,15,3.0,Mongolia
996,Randie,Rivett,14,4.4,Japan
997,Miranda,Harmour,13,2.4,Turkmenistan
998,Susanetta,Menego,15,9.5,Philippines
999,Etti,McIlheran,14,7.7,Indonesia
1000,Dewie,Speake,16,9.0,El Salvador
